Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,2407.0,8.0,207.0,6033.0,0.1,155.88200000000003,0.0,0.0,814.7548954486847,,,,,,,,,,,,,,,,,,,,,69.06548246630186,42.96212257335047,141.8690413431205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,2619.0,9.0,212.0,6245.0,0.1,150.63000000000002,0.0,0.0,833.4720227718353,,,,,,,,,,,,,,,,,,,,,65.81968441461905,41.45279478971741,136.9499899339789,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,2734.0,10.0,115.0,6360.0,0.1,89.88000000000002,0.0,0.0,843.7436654567719,,,,,,,,,,,,,,,,,,,,,36.099832630390054,26.855563909364083,85.9002338149011,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,2817.0,11.0,83.0,6443.0,0.1,58.255999999999986,0.0,0.0,851.3318934440613,,,,,,,,,,,,,,,,,,,,,24.353121172473728,17.652424855320117,56.34732925386317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,2856.0,12.0,39.0,6482.0,0.1,18.506000000000007,0.0,0.0,855.088454246521,,,,,,,,,,,,,,,,,,,,,6.8879402553516496,5.822565631753709,18.273899855853134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,2912.0,13.0,56.0,6538.0,0.1,34.75499999999999,0.0,0.0,860.557895898819,,,,,,,,,,,,,,,,,,,,,15.993717619605544,11.376912691990787,33.92717223059103,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,2976.0,14.0,64.0,6602.0,0.1,41.255999999999986,0.0,0.0,866.4833714962006,,,,,,,,,,,,,,,,,,,,,17.9672575018185,13.670365223403833,40.1864281898351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,3009.0,15.0,33.0,6635.0,0.1,13.006999999999996,0.0,0.0,869.7088487148285,,,,,,,,,,,,,,,,,,,,,5.304937320206485,4.540738088733871,12.857639489773241,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,3141.0,16.0,132.0,6767.0,0.1,93.25700000000003,0.0,0.0,881.4809472560883,,,,,,,,,,,,,,,,,,,,,46.39414264582551,28.565275354581093,87.30750086498014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,3307.0,17.0,166.0,6933.0,0.1,127.38000000000002,0.0,0.0,896.2573556900024,,,,,,,,,,,,,,,,,,,,,52.47652270959071,34.029385005675095,118.90659150662967,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,3421.0,18.0,114.0,7047.0,0.1,75.51000000000005,0.0,0.0,906.7178618907928,,,,,,,,,,,,,,,,,,,,,31.1238935055546,22.242939894974228,72.10601606648365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,3972.0,19.0,551.0,7598.0,0.1,430.88099999999986,0.0,0.0,954.7667920589447,,,,,,,,,,,,,,,,,,,,,184.07779390447234,96.45607126659995,330.11403351162534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,4519.0,20.0,547.0,8145.0,0.1,461.5049999999999,0.0,0.0,1002.4180374145508,,,,,,,,,,,,,,,,,,,,,191.1824951508443,107.96233221080898,357.6431037168176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,507.0,1.0,507.0,8652.0,0.1,418.7579999999998,0.0,0.0,1431.8871207237244,,,,,,,,,,,,,,,,,,,,,167.8924402363263,99.54604746217838,334.3048081115978,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,801.0,2.0,294.0,8946.0,0.1,227.63200000000003,0.0,0.0,1457.7803981304169,,,,,,,,,,,,,,,,,,,,,100.85317490714965,59.31626726488868,198.37772364686822,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,1222.0,3.0,421.0,9367.0,0.1,347.00999999999976,0.0,0.0,1494.6494281291962,,,,,,,,,,,,,,,,,,,,,144.29263639742038,87.217136712535,286.83618561172375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,1438.0,4.0,216.0,9583.0,0.1,161.50800000000004,0.0,0.0,1513.7167131900787,,,,,,,,,,,,,,,,,,,,,71.95140065335981,45.2527869041679,146.25886893788123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,1602.0,5.0,164.0,9747.0,0.1,140.75600000000003,0.0,0.0,1528.3102281093597,,,,,,,,,,,,,,,,,,,,,64.26115297498572,41.22342187082815,130.47799642695983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1985.0,6.0,383.0,10130.0,0.1,289.5039999999999,0.0,0.0,1562.0022361278534,,,,,,,,,,,,,,,,,,,,,121.89530364102549,72.0773933719577,243.30446432968228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,2076.0,7.0,91.0,10221.0,0.1,72.01000000000005,0.0,0.0,1570.2231197357178,,,,,,,,,,,,,,,,,,,,,28.444373522522454,22.518573365036485,69.56061367618915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,2133.0,8.0,57.0,10278.0,0.1,32.50799999999998,0.0,0.0,1575.5449721813202,,,,,,,,,,,,,,,,,,,,,12.642813198308762,10.423441882345005,31.851029856379306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,2422.0,9.0,289.0,10567.0,0.1,219.25700000000003,0.0,0.0,1600.956950187683,,,,,,,,,,,,,,,,,,,,,94.2612924005218,58.89957406658189,192.40009428472445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,2593.0,10.0,171.0,10738.0,0.1,125.50600000000003,0.0,0.0,1616.146600484848,,,,,,,,,,,,,,,,,,,,,50.88096227736124,34.01109598645066,117.03931704534494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,2685.0,11.0,92.0,10830.0,0.1,66.62900000000002,0.0,0.0,1624.681072473526,,,,,,,,,,,,,,,,,,,,,28.00418535912045,19.8427271471894,64.18091259123081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,2721.0,12.0,36.0,10866.0,0.1,17.00700000000001,0.0,0.0,1628.2611434459686,,,,,,,,,,,,,,,,,,,,,6.312511622769401,5.440436414092198,16.813359487195214,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,2771.0,13.0,50.0,10916.0,0.1,28.505000000000006,0.0,0.0,1633.0097517967224,,,,,,,,,,,,,,,,,,,,,12.631605990742049,9.510058061910133,27.92925027175614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,2839.0,14.0,68.0,10984.0,0.1,45.505999999999986,0.0,0.0,1639.3128480911255,,,,,,,,,,,,,,,,,,,,,20.152811929778263,14.401322344146182,44.22401258994238,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,2871.0,15.0,32.0,11016.0,0.1,15.504999999999997,0.0,0.0,1642.655250787735,,,,,,,,,,,,,,,,,,,,,6.747102701577135,5.4982673186465485,15.31971682748768,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,3661.0,16.0,790.0,11806.0,0.1,624.7569999999998,0.0,0.0,1711.2830758094788,,,,,,,,,,,,,,,,,,,,,237.6009589256025,129.38220875846318,437.9276598407956,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,3974.0,17.0,313.0,12119.0,0.1,236.8960000000001,0.0,0.0,1738.5360748767853,,,,,,,,,,,,,,,,,,,,,102.33606388690825,62.142034111360346,205.27515704232545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,4253.0,18.0,279.0,12398.0,0.1,228.38200000000003,0.0,0.0,1763.0097870826721,,,,,,,,,,,,,,,,,,,,,98.73320559689058,63.327927356749704,201.23770982039852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,4310.0,19.0,57.0,12455.0,0.1,31.00700000000001,0.0,0.0,1768.3241512775421,,,,,,,,,,,,,,,,,,,,,13.806029104462846,10.288553742327966,30.280587234928245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,4698.0,20.0,388.0,12843.0,0.1,332.1299999999999,0.0,0.0,1802.4103994369507,,,,,,,,,,,,,,,,,,,,,144.05272622708702,80.88338529683112,276.79084712729775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,157.0,1.0,157.0,13000.0,0.1,126.50600000000003,0.0,0.0,2215.3948068618774,,,,,,,,,,,,,,,,,,,,,54.423868607132626,36.012481818804126,118.1977298907318,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,446.0,2.0,289.0,13289.0,0.1,229.26200000000006,0.0,0.0,2240.786596298218,,,,,,,,,,,,,,,,,,,,,98.98676764319816,61.65211528408322,201.05673656751435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,859.0,3.0,413.0,13702.0,0.1,295.14399999999955,0.0,0.0,2277.0734746456146,,,,,,,,,,,,,,,,,,,,,125.64793205961053,75.45013341158915,243.7386375959354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,1145.0,4.0,286.0,13988.0,0.1,237.00800000000004,0.0,0.0,2302.1637551784515,,,,,,,,,,,,,,,,,,,,,101.48376456828322,64.97726481822143,208.4002354040438,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,1465.0,5.0,320.0,14308.0,0.1,257.5049999999999,0.0,0.0,2330.160445213318,,,,,,,,,,,,,,,,,,,,,107.88821354531706,67.90431011738738,223.42740304418396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,1856.0,6.0,391.0,14699.0,0.1,305.5079999999998,0.0,0.0,2364.254941225052,,,,,,,,,,,,,,,,,,,,,125.15064976433545,75.13946617586092,257.0880148838977,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,2213.0,7.0,357.0,15056.0,0.1,258.1299999999999,0.0,0.0,2395.6736073493958,,,,,,,,,,,,,,,,,,,,,107.2296855549913,64.60838814070033,220.28936068888532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,2401.0,8.0,188.0,15244.0,0.1,130.88100000000003,0.0,0.0,2412.280371904373,,,,,,,,,,,,,,,,,,,,,58.10373234507999,36.754478223376616,120.19777366868871,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,2562.0,9.0,161.0,15405.0,0.1,110.13100000000003,0.0,0.0,2426.542850971222,,,,,,,,,,,,,,,,,,,,,48.85865868219195,32.70304742643791,102.46959266791032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,2795.0,10.0,233.0,15638.0,0.1,184.00600000000003,0.0,0.0,2446.9673686027527,,,,,,,,,,,,,,,,,,,,,79.05780015523459,48.04143748522258,165.91720104872678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,3617.0,11.0,822.0,16460.0,0.1,642.501,0.0,0.0,2518.6343824863434,,,,,,,,,,,,,,,,,,,,,252.8952122179109,127.49746146747616,435.49168343205764,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,3706.0,12.0,89.0,16549.0,0.1,56.755999999999986,0.0,0.0,2526.665294408798,,,,,,,,,,,,,,,,,,,,,25.8868071272579,16.993684019309267,54.56114188830879,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,3813.0,13.0,107.0,16656.0,0.1,77.00500000000002,0.0,0.0,2536.2969102859497,,,,,,,,,,,,,,,,,,,,,37.86885091956448,23.406637154646535,73.09915816878599,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,3883.0,14.0,70.0,16726.0,0.1,44.37999999999999,0.0,0.0,2542.6950380802155,,,,,,,,,,,,,,,,,,,,,20.553140193913176,14.01338392755504,43.02729174261955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
